Year,SA2_code_2016,SA2_code_2016,Population,Population density,Population growth (1 year),Population increase (1 year),Population growth (5 years),Natural increase,Net regional migration,Net overseas migration,Natural increase (ratio to population at start of year),Net regional migration (ratio to population at start of year),Net overseas migration (ratio to population at start of year)
2017,119041381,Rockdale - Banksia,21722,6074.4,2.6,542,8.755575603,199,-593,936,0.939565628,-2.799811143,4.419263456
2017,119041382,Sans Souci - Ramsgate,17093,3706.6,1.4,241,6.353470357,71,38,132,0.421314977,0.225492523,0.783289817
2017,120011383,Concord - Mortlake - Cabarita,23069,3650.6,1.6,363,10.36291669,161,-71,273,0.709063684,-0.31269268,1.202325377
2017,120011384,Concord West - North Strathfield,26782,5248.3,2.6,666,31.42578601,358,-599,907,1.370807168,-2.293613111,3.472966764
2017,120011385,Drummoyne - Rodd Point,19385,5232.5,0.6,109,4.001497887,105,-153,157,0.544718821,-0.79373314,0.814484333
2017,120011386,Five Dock - Abbotsford,21692,4695,0.9,195,5.462512171,136,-148,207,0.632646416,-0.688468158,0.962925059
2017,120021387,Balmain,16863,6532.2,1.3,213,6.168953796,162,-126,177,0.972972973,-0.756756757,1.063063063
2017,120021388,Leichhardt - Annandale,28402,6350.6,1.6,445,6.72243346,298,-168,315,1.065922667,-0.600922846,1.126730336
2017,120021389,Lilyfield - Rozelle,15152,4204.3,1.5,219,6.293207897,158,-80,141,1.058059332,-0.535726244,0.944217505
2017,120031390,Ashfield,26125,7118.7,1.8,470,7.328294446,117,-588,941,0.456051452,-2.291950887,3.667900994
2017,120031391,Burwood - Croydon,26524,5904.1,2.5,645,15.50981331,144,-480,981,0.55643572,-1.854785734,3.790718343
2017,120031392,Canterbury (North) - Ashbury,11425,3773.7,4,443,12.86815576,58,130,255,0.528136951,1.183755236,2.321981424
2017,120031393,Croydon Park - Enfield,17929,4514.9,0.4,67,4.077166715,72,-273,268,0.403090359,-1.528384279,1.500391893
